date,flower_name,meaning
10-13,バンダ,軽快
10-14,オンシジウム,気だての良さ
10-15,フジバカマ,用心深い
10-16,ヤマスゲ,忍耐
10-17,ヨウラクソウ,片想い
10-18,キンモクセイ,変わらぬ魅力
10-19,レモンバーベナ,魅惑
10-20,ノボタン,ナチュラル
10-21,モミジアオイ,思いやり
10-22,ジニア・リネアリス,友情
10-23,ダリア,エレガント
10-24,パボニア,安堵
10-25,ヘレニウム,寛容
10-26,ボタンヅル,休息
10-27,バラ（ニコル）,魅力
10-28,ヤハズカヅラ,美しい瞳
10-29,アングレカム,清純
10-30,クロッカス（紫）,エネルギー
10-31,タマスダレ,潔白
11-01,フウセンダマノキ,繁栄
11-02,ハナキリン,独立
11-03,パフィオペディラム,思慮深い
11-04,ピラカンサ,陽気
11-05,デンファレ,お似合い
11-06,カーネーション（白）,清らかな愛
11-07,ミニバラ（赤）,特別な功績
11-08,ステルンベルギア,期待
11-09,ムラサキシキブ,才媛
11-10,コダチベゴニア,無邪気
11-11,チャノキ,向上心
11-12,グミ,心の純潔
11-13,サザンカ,なごむ心
11-14,シクラメン（赤）,はにかみ
11-15,モレア,豊かな感性
11-16,ワレモコウ,変化
11-17,ネリネ,再生
11-18,カラー（黄）,熱意
11-19,ペリストロフェ,不思議
11-20,ルクリア,優美な人
11-21,ハマギク,友愛
11-22,ワビスケ,簡素
11-23,バラ（白）,よみがえる愛
11-24,フユボタン,高貴
11-25,コチョウラン,永久の愛
11-26,シーマンニア,栄華
11-27,クロッサンドラ,内面の美
11-28,クリ,約束
11-29,マリーゴールド,信頼
11-30,シネラリア,いつも陽気
12-01,サフラン,節度の美
12-02,ヒメシャラ,謙譲
12-03,ツワブキ,心づかい
12-04,ポインセチア,祝福
12-05,アザレア（赤）,自制心
12-06,ブバルディア,予感
12-07,ダイモンジソウ,自由
12-08,シャコバサボテン,美しい眺め
12-09,カンガルーポー,不思議
12-10,レナンセナ,熱望
12-11,イソカンギク,教養
12-12,テッポウユリ,純潔
12-13,カトレア,優雅な女性
12-14,ナンテン,ますます幸せ
12-15,オドントグロッサム,特別
12-16,ラケナリア,継続
12-17,キルタンサス,ロマンティック
12-18,ヘリコニア,注目
12-19,ベゴニア（ピンク）,愛の告白
12-20,ツルウメモドキ,開運
12-21,ニオイバンマツリ,青春の喜び
12-22,クチベニスイセン,詩人
12-23,ユーリオプスデイジー,円満
12-24,シンビジューム,飾らない心
12-25,クリスマスパレード,博愛
12-26,リュウノヒゲ,天才的
12-27,ヒイラギ,先見性
12-28,ストロベリーキャンドル,善良
12-29,ヒイラギモチ,清廉
12-30,マネッチア,楽しい語らい
12-31,カンギク,真の強さ
